epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou
1,0.8744124215394448,0.5846575517159989,0.6059499674854182,0.605075602380109,0.4596757572244857,0.48368721768129475
2,0.36183838646626987,0.32698392510679536,0.7437772898872063,0.7411141866152422,0.6119964028172564,0.63575191837821
3,0.2708941573393087,0.26330906585920555,0.7835887696930081,0.7828034324145794,0.6609802144299127,0.6782325255138
4,0.24685334014260177,0.2581907430943339,0.7979958549596303,0.7847356891337014,0.6797024490314109,0.6759732061064994
5,0.22067476969018218,0.23765707787590779,0.8180905311277286,0.8014994119700668,0.7047436000090542,0.6999307531599485
6,0.21074982967554312,0.2443647316962708,0.8258567545965333,0.7958065259143428,0.7157372294095602,0.6924547839680949
7,0.1964001715173791,0.24112817775884657,0.8372238794912074,0.8039640738037745,0.7307577132137334,0.7004889358938385
8,0.18416741144579504,0.22043821044057685,0.8470945497820913,0.8188510568840652,0.7443925745434955,0.7190634488299068
9,0.17328023008547788,0.373923543774293,0.8561595666022283,0.6864091256237899,0.7566464399537864,0.5721250726959093
10,0.17350310148503229,0.21655994431890604,0.8559379575175282,0.8190638263172588,0.7571835441768093,0.7199658917799404
11,0.16368115089331983,0.20831632894717403,0.8639943858341159,0.8261377426580012,0.7679982893973627,0.7276336619246552
12,0.1539693885758576,0.1924015718960125,0.8718279358165237,0.8401636124491388,0.7799166308046145,0.7412972945634645
13,0.14812706804951462,0.19144596036229727,0.8767506090363221,0.8408490318530085,0.7860682785151268,0.7431713967150404
14,0.14251203294914438,0.23800392834701914,0.8813020085781017,0.8011565906338445,0.7926672320278051,0.7014539324680603
15,0.13816396311502974,0.19311990304530122,0.8850627440812475,0.8398449598757062,0.7984542989443036,0.7424231956099129
16,0.13212038334246057,0.19569315008686397,0.8897873678988999,0.8380802188442545,0.8059501531693654,0.74214454465434
17,0.13073177593304589,0.2154408042477894,0.8911797138643386,0.8212757107153352,0.8080843433340138,0.7224811875105898
18,0.12583312877185235,0.19009229703865585,0.8952356852600505,0.8421195034914041,0.8141253064404297,0.7463564790652605
19,0.12449611689104892,0.20385285919062965,0.8962509888478731,0.8313712594845822,0.8157604450343373,0.7341458326722222
20,0.11768854797132587,0.18834909069667033,0.9019433357664106,0.8431121491691993,0.8243901408271536,0.7459660441242633
